win%,k/d,dmg/rnd,matchs_played,headshot_%,wins_total,kills_total,avg_kill_per_rnd,rank_Ascendant,rank_Ascendant ,rank_Bronze,rank_Bronze ,rank_Diamond,rank_Diamond ,rank_Gold,rank_Gold ,rank_Immortal,rank_Immortal ,rank_Iron,rank_Iron ,rank_Platinum,rank_Platinum ,rank_Radiant,rank_Silver,rank_Silver ,rank_Unranked,performance,skill,consistency,dmg_indicator
36.8,0.555,0.5924999999999999,0.0592592592592592,0.415625,0.0457142857142857,0.0496666666666666,0.5599999999999999,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4604699398460866,0.6464,0.4643613267466479,0.4906333333333333
47.4,0.575,0.6233333333333334,1.022962962962963,0.45625,0.9642857142857144,0.940625,0.64,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.4810015825061142,0.672,0.5105740181268882,0.4603
62.0,0.5,0.4974999999999999,0.1214814814814814,0.6375,0.1185714285714285,0.0991666666666666,0.5599999999999999,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.5635325336241368,0.6368,0.5267175572519084,0.5010333333333333
50.8,0.64,0.6525000000000001,0.0955555555555555,0.471875,0.0757142857142857,0.0848333333333333,0.64,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.5262448428764218,0.7968000000000001,0.5182186234817814,0.4840666666666666
43.8,0.635,0.8116666666666668,0.094074074074074,0.425,0.09,0.0822916666666666,0.64,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
59.1,0.635,0.6474999999999999,0.1088888888888888,0.33125,0.0957142857142857,0.0933333333333333,0.5599999999999999,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1450952380952381,0.496,0.5370370370370371,0.2187
52.1,0.625,0.7458333333333333,0.1318518518518518,0.496875,0.1171428571428571,0.1329583333333333,0.72,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.2013266499582289,0.2159999999999999,0.5087719298245614,0.2695333333333333
68.6,0.38,0.2024999999999999,0.3911111111111111,0.625,0.3828571428571428,0.2974166666666666,0.5599999999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.7632183908045977,0.6144,0.521551724137931,0.64
37.5,0.41,0.4166666666666667,0.5896296296296296,0.51875,0.5671428571428572,0.425875,0.48,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.5400546737213403,0.4508,0.4351851851851852,0.5875333333333334
48.4,0.57,0.6566666666666667,0.2348148148148148,0.71875,0.2214285714285714,0.2534166666666667,0.72,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.5014551820728292,0.6912,0.4362745098039216,0.5551
62.7,0.63,0.7783333333333334,0.4422222222222222,0.675,0.4414285714285714,0.4333333333333333,0.64,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,
45.5,0.655,0.6483333333333334,0.0629629629629629,0.2875,0.0514285714285714,0.0469166666666666,0.5599999999999999,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.6135472928897585,0.5112,0.4931506849315068,0.5706333333333333
46.3,0.475,0.3866666666666667,0.3377777777777778,0.646875,0.3085714285714285,0.2582916666666666,0.48,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,
60.0,0.665,0.6150000000000001,0.4911111111111111,0.515625,0.4514285714285714,0.418,0.5599999999999999,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.4819640287769786,0.7,0.487410071942446,0.4828666666666667
45.9,0.335,0.1233333333333333,0.3251851851851852,0.428125,0.3,0.2801666666666667,0.5599999999999999,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.5935238095238095,0.7904000000000001,0.5,0.5488
51.4,0.555,0.5775000000000001,0.1896296296296296,0.484375,0.1757142857142857,0.1568333333333333,0.5599999999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,
71.4,0.445,0.3875,0.1844444444444444,0.3375,0.1785714285714285,0.125375,0.48,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.6729017857142858,0.4871999999999999,0.5078125,0.5950666666666667
49.7,0.59,0.6549999999999999,0.6451851851851852,0.453125,0.6214285714285714,0.6363333333333333,0.64,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.350770411868451,0.5628,0.4782135076252723,0.3961333333333333
50.0,0.47,0.3741666666666667,0.0251851851851851,0.715625,0.0285714285714285,0.0222916666666666,0.5599999999999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6432106104186641,0.6656,0.5167785234899329,0.5646333333333333
61.8,0.64,0.7108333333333334,0.0748148148148148,0.29375,0.0742857142857142,0.0732916666666666,0.64,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5136286871023713,0.4416,0.4939271255060729,0.4989333333333333
43.9,0.565,0.5474999999999999,0.4637037037037037,0.771875,0.4471428571428571,0.425125,0.64,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5185359361135758,0.4416,0.494824016563147,0.5015
51.9,0.505,0.4266666666666666,0.1162962962962963,0.775,0.1128571428571428,0.0959583333333333,0.5599999999999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5503879751124253,0.518,0.5019404915912031,0.5166
70.0,0.6,0.6474999999999999,0.3051851851851851,0.578125,0.3157142857142857,0.2577916666666666,0.5599999999999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.535431784279977,0.3167999999999999,0.4433734939759036,0.5730333333333333
47.4,0.47,0.4066666666666668,0.2214814814814814,0.575,0.2128571428571428,0.2109583333333333,0.64,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3059714115036696,0.5856,0.4847670250896057,0.3584333333333333
61.5,0.695,0.7633333333333333,0.3807407407407407,0.59375,0.3657142857142857,0.3730416666666666,0.72,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.8924023668639055,0.434,0.5207100591715976,0.7278666666666667
35.3,0.49,0.5166666666666667,0.5362962962962963,0.453125,0.5114285714285715,0.474375,0.64,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.7496543402101984,0.2912,0.4713896457765668,0.6980333333333333
38.6,0.59,0.6316666666666667,0.1,0.5,0.0842857142857142,0.0932916666666666,0.64,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5354839424141749,0.6016,0.5010570824524313,0.5071
51.4,0.365,0.1799999999999999,0.3755555555555555,0.615625,0.3571428571428571,0.2739583333333333,0.48,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.1927193362193362,0.56,0.5075757575757576,0.2642333333333333
54.3,0.525,0.6083333333333333,0.2007407407407407,0.784375,0.1857142857142857,0.19475,0.64,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,
73.3,0.48,0.3966666666666666,0.0466666666666666,0.453125,0.0471428571428571,0.034625,0.5599999999999999,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4445429178040643,0.6944,0.5031847133757962,0.4417
57.6,0.535,0.5058333333333332,0.894074074074074,0.715625,0.88,0.834375,0.64,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.3818571428571429,0.36,0.4722222222222222,0.4242
64.5,0.61,0.7650000000000001,0.1496296296296296,0.70625,0.1614285714285714,0.161,0.72,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.6788960155490769,0.2967999999999999,0.4557823129251701,0.6676
50.0,0.455,0.6174999999999999,0.9162962962962964,0.584375,0.85,0.7476666666666667,0.5599999999999999,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.6683983933195919,0.5292,0.4739178690344062,0.6343
43.5,0.425,0.3133333333333333,0.2881481481481481,0.346875,0.28,0.2202083333333333,0.5599999999999999,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.6307912844036698,0.7744,0.4873853211009174,0.5897666666666667
55.0,0.49,0.4241666666666667,0.0333333333333333,0.746875,0.0328571428571428,0.021875,0.48,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1992595314653193,0.2543999999999999,0.4694533762057878,0.2905666666666667
60.0,0.515,0.5566666666666668,0.3318518518518518,0.39375,0.3271428571428571,0.2577083333333333,0.5599999999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2398445092322643,0.4104,0.4897959183673469,0.3075
47.8,0.46,0.5358333333333334,0.5037037037037037,0.4625,0.4771428571428571,0.3318333333333333,0.48,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.551446973111011,0.6912,0.499211356466877,0.5201666666666667
50.0,0.5,0.5908333333333334,0.1851851851851851,0.51875,0.1685714285714285,0.1505833333333333,0.5599999999999999,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4293217893217895,0.4032,0.5252525252525253,0.413
61.5,0.585,0.5625,0.3044444444444444,0.5,0.2985714285714286,0.327,0.72,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.6453300892133009,0.5760000000000001,0.5085158150851582,0.5752666666666667
51.2,0.7,0.6683333333333332,0.2118518518518518,0.684375,0.2114285714285714,0.234375,0.72,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4343033509700176,0.4640000000000001,0.4629629629629629,0.4723333333333332
53.5,0.525,0.5683333333333332,0.697037037037037,0.7125,0.69,0.6624166666666667,0.64,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.5995112781954888,0.4508,0.4824561403508772,0.5731
45.1,0.475,0.3758333333333333,0.68,0.628125,0.6271428571428571,0.559875,0.5599999999999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4507678044669194,0.4895999999999999,0.5026548672566372,0.4464999999999999
61.5,0.685,0.8883333333333333,0.3666666666666666,0.5875,0.3485714285714286,0.28325,0.5599999999999999,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.216662917135358,0.3576,0.4822834645669291,0.2954666666666666
38.5,0.495,0.4099999999999999,0.2859259259259259,0.421875,0.2857142857142857,0.2477916666666666,0.5599999999999999,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.4085402029664325,0.3276,0.4918032786885246,0.4263
53.2,0.505,0.5474999999999999,0.5666666666666667,0.3875,0.5414285714285715,0.4418333333333333,0.5599999999999999,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.645780401416765,0.7008,0.5289256198347108,0.5533666666666667
55.1,0.455,0.4016666666666665,0.3096296296296296,0.596875,0.3171428571428571,0.2551666666666666,0.5599999999999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7665399325084364,0.2592,0.4803149606299212,0.6973666666666667
52.8,0.59,0.6174999999999999,0.2081481481481481,0.528125,0.1942857142857142,0.1699583333333333,0.5599999999999999,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9895115771079074,0.4832,0.5137614678899083,0.8038666666666666
51.1,0.52,0.5133333333333333,0.1755555555555555,0.725,0.1814285714285714,0.1644166666666666,0.64,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
51.9,0.58,0.5825,0.0414814814814814,0.540625,0.0428571428571428,0.0396666666666666,0.64,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.6944201142857145,0.72,0.5056,0.6125666666666667
52.5,0.59,0.58,0.1711111111111111,0.496875,0.16,0.14025,0.5599999999999999,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.6907504761904762,0.7040000000000001,0.52,0.5931333333333333
53.2,0.565,0.645,0.0362962962962963,0.35625,0.0257142857142857,0.0236666666666666,0.48,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.5455952380952381,0.3527999999999999,0.5111607142857143,0.504
53.1,0.5,0.4208333333333333,0.5185185185185185,0.69375,0.5371428571428571,0.478625,0.64,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.259173294059892,0.288,0.4845360824742268,0.3248
50.8,0.61,0.6566666666666667,0.3607407407407407,0.50625,0.3371428571428571,0.3430416666666667,0.64,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.4461185695161599,0.5068,0.4538152610441767,0.4909666666666666
40.0,0.495,0.4933333333333332,0.2244444444444444,0.4875,0.2142857142857142,0.225625,0.72,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.3754561172161172,0.4955999999999999,0.5107692307692308,0.3878
42.6,0.605,0.6983333333333335,0.5088888888888888,0.53125,0.4614285714285714,0.461,0.64,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.7036792803363646,0.5184000000000001,0.4845995893223819,0.6458
61.5,0.475,0.4208333333333333,0.68,0.4625,0.6257142857142857,0.5120416666666666,0.48,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3740952380952381,0.5459999999999999,0.5066666666666667,0.39
47.8,0.535,0.5216666666666666,0.7325925925925926,0.5875,0.7,0.6116666666666667,0.5599999999999999,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,
45.8,0.52,0.5058333333333332,0.6614814814814814,0.5625,0.6342857142857142,0.58275,0.64,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5083194404522373,0.5632,0.5331991951710262,0.4587
65.0,0.53,0.4766666666666665,0.9007407407407408,0.78125,0.9,0.8257083333333334,0.64,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.4771156462585034,0.7104,0.5371428571428571,0.435
50.0,0.75,0.7766666666666666,0.0162962962962962,0.496875,0.0171428571428571,0.0142916666666666,0.64,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.6089769585253457,0.6264,0.4946236559139785,0.5657
47.8,0.66,0.9175,0.6370370370370371,0.734375,0.6014285714285714,0.61275,0.64,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
62.5,0.64,0.6966666666666667,0.2718518518518518,0.284375,0.2471428571428571,0.2399166666666666,0.64,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.6506682152535811,0.6240000000000001,0.491869918699187,0.5985333333333334
44.4,0.465,0.3708333333333333,0.8533333333333334,0.31875,0.8328571428571429,0.6300833333333333,0.48,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
49.3,0.535,0.4816666666666667,0.6044444444444445,0.7125,0.5714285714285714,0.5403333333333333,0.64,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5339477726574501,0.432,0.4838709677419355,0.5239999999999999
60.0,0.645,0.7858333333333334,0.1074074074074074,0.621875,0.1157142857142857,0.112625,0.72,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.5232802282203205,0.4395999999999999,0.5046082949308756,0.4950666666666667
60.0,0.585,0.4516666666666665,0.0303703703703703,0.371875,0.0314285714285714,0.0234166666666666,0.5599999999999999,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2884878140232471,0.336,0.4763779527559055,0.3519
52.1,0.415,0.3549999999999999,0.257037037037037,0.4,0.2414285714285714,0.1687916666666666,0.48,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.6246695526695527,0.4452,0.4848484848484848,0.5884333333333334
65.4,0.525,0.5591666666666666,0.1637037037037037,0.4,0.1585714285714285,0.1416666666666666,0.5599999999999999,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.5483757810816635,0.3583999999999999,0.502262443438914,0.5148666666666667
65.6,0.66,0.7141666666666666,0.4607407407407407,0.640625,0.4671428571428571,0.4437083333333333,0.64,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.523625932300631,0.3303999999999999,0.465863453815261,0.5365
55.6,0.57,0.6333333333333333,0.7407407407407407,0.621875,0.6814285714285714,0.6425416666666667,0.64,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.3996017316017315,0.5348,0.5311004784688995,0.3888666666666666
56.5,0.46,0.4283333333333334,0.3511111111111111,0.4,0.3485714285714286,0.2633333333333333,0.5599999999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.2333530377668308,0.3623999999999999,0.5011494252873563,0.296
57.8,0.575,0.5625,0.6785185185185185,0.34375,0.6771428571428572,0.6039583333333334,0.64,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6272448116058835,0.4424,0.4880112834978843,0.5864666666666667
40.5,0.49,0.385,0.1637037037037037,0.453125,0.1557142857142857,0.1228333333333333,0.5599999999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.6257703081232493,0.4955999999999999,0.5026737967914439,0.5683333333333334
50.0,0.535,0.5875,0.2259259259259259,0.559375,0.2314285714285714,0.1769583333333333,0.5599999999999999,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.2597626630269942,0.4247999999999999,0.4848726114649681,0.325
64.6,0.56,0.5491666666666667,0.2222222222222222,0.54375,0.2157142857142857,0.1896666666666666,0.5599999999999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4948072627612195,0.6240000000000001,0.5136690647482014,0.4669333333333333
33.3,0.4,0.3441666666666666,0.0414814814814814,0.434375,0.0385714285714285,0.033375,0.5599999999999999,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.4161967418546365,0.5616,0.4934210526315789,0.4303333333333333
40.0,0.37,0.2674999999999999,0.6785185185185185,0.6,0.5942857142857143,0.5796666666666667,0.5599999999999999,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.3670501253132831,0.3296,0.506578947368421,0.3852
50.0,0.365,0.1966666666666666,0.0422222222222222,0.28125,0.0414285714285714,0.025625,0.48,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5182169503180333,0.512,0.4801444043321299,0.5166
58.3,0.545,0.5333333333333333,0.1992592592592592,0.55625,0.2014285714285714,0.18075,0.64,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.737287845325274,0.7968000000000001,0.4955248169243287,0.6553
50.0,0.395,0.1833333333333333,0.9896296296296296,0.421875,0.94,0.7117916666666667,0.48,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4372383533359144,0.2464,0.4661246612466124,0.4713333333333333
49.0,0.56,0.6383333333333333,0.2896296296296296,0.590625,0.2714285714285714,0.28425,0.64,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.4339555555555555,0.5735999999999999,0.5111111111111111,0.4276
45.5,0.56,0.7441666666666668,0.0214814814814814,0.284375,0.0128571428571428,0.015875,0.5599999999999999,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4699645888915839,0.3332,0.4957555178268251,0.4662666666666666
46.6,0.475,0.4858333333333334,0.3844444444444444,0.340625,0.3471428571428571,0.290375,0.5599999999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.6151233846698531,0.3919999999999999,0.4907063197026022,0.5746
33.3,0.47,0.5108333333333335,0.3259259259259259,0.45,0.3014285714285714,0.3075833333333333,0.64,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.4940974212034383,0.4395999999999999,0.492836676217765,0.4861666666666666
48.4,0.505,0.4875,0.4362962962962963,0.371875,0.4171428571428571,0.355125,0.5599999999999999,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
45.9,0.65,0.8041666666666667,0.2237037037037037,0.73125,0.2228571428571428,0.24675,0.72,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.9383222958057394,0.8423999999999999,0.5165562913907285,0.7648333333333333
42.9,0.435,0.3633333333333333,0.8266666666666667,0.571875,0.7728571428571429,0.7819583333333333,0.64,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4622148070907195,0.4172,0.4846715328467153,0.4713333333333333
53.1,0.525,0.5474999999999999,0.5696296296296296,0.540625,0.5385714285714286,0.531,0.64,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.4993050903119869,0.3888,0.496551724137931,0.4862
49.1,0.535,0.4650000000000001,0.5333333333333333,0.596875,0.4957142857142857,0.43425,0.5599999999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.4591046478471627,0.1992,0.5029940119760479,0.4519999999999999
62.1,0.53,0.5724999999999999,0.254074074074074,0.578125,0.2528571428571428,0.2337916666666666,0.64,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3303355771628022,0.3072,0.4781849912739965,0.3812
53.6,0.525,0.5091666666666667,0.1874074074074074,0.4125,0.1671428571428571,0.133875,0.48,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.6225534172218111,0.4640000000000001,0.4585492227979275,0.6205666666666666
